"Num_Samples","Mode","Num_Variables","Num_Extra_Edges","Num_Missing_Vars_Affected","Seed","Method","SHD","Precision","Recall","F1_Score"
5000,"mnar",20,5,10,777,"CompleteData_PC",10,0.96,0.827586206896552,0.888888888888889
5000,"mnar",20,5,10,777,"TestWise_PC",17,0.909090909090909,0.689655172413793,0.784313725490196
5000,"mnar",20,5,10,777,"MVPC_PermC",14,0.95,0.655172413793103,0.775510204081633
5000,"mnar",20,5,10,777,"MVPC_DRW",14,0.952380952380952,0.689655172413793,0.8
