"Num_Samples","Mode","Num_Variables","Num_Extra_Edges","Num_Missing_Vars_Affected","Seed","Method","SHD","Precision","Recall","F1_Score"
10000,"mnar",20,5,10,777,"CompleteData_PC",10,0.923076923076923,0.827586206896552,0.872727272727273
10000,"mnar",20,5,10,777,"TestWise_PC",14,0.916666666666667,0.758620689655172,0.830188679245283
10000,"mnar",20,5,10,777,"MVPC_PermC",13,0.956521739130435,0.758620689655172,0.846153846153846
10000,"mnar",20,5,10,777,"MVPC_DRW",15,0.952380952380952,0.689655172413793,0.8
